Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
beach,0.0004912795585448825,0.00028527889399733214,0.0003645552430892289,0.000877697659616213,0.0003868760001806896
beak,0.003434897382129011,0.00028643675242442647,0.0049487160767195575,0.0003171918952256495,0.0013193618255608686
beanie,0.0004913357919306053,0.00028631268502109675,0.0011320129469145359,0.0012597921396601496,0.00038690657357485006
bear,0.0004913048940744894,0.006938330876858296,0.0003884078754565692,0.00031717399133996,0.00038904916265568534
beard,0.0007758758733840854,0.00028528636080486,0.00036726317056661655,0.002171619976205822,0.00038688834375386934
bed,0.0004912844708629383,0.0002927615222735334,0.0016746625338745383,0.00031716583002525773,0.000386871876707361
bedding,0.000491287556057521,0.00029427021389980066,0.0016332787914363203,0.00031716727251050275,0.00038687344653991196
bedrock,0.0004912610930356513,0.0002862305803230547,0.00036550472712640363,0.004817018935742931,0.00038685710744322
bedroom,0.000491272586251157,0.00028527514153319644,0.0010120129356025183,0.0003171599210185815,0.00038686370113745185
bedtime,0.0004912844708633698,0.0002927615228499369,0.0016746625331372192,0.00031716583002544166,0.00038687187670763255
bee,0.0004912534009121224,0.0002852698792660994,0.00036452197980521643,0.0003171523685283927,0.0016458553282747426
beeeater,0.0014432992654721478,0.00028669556195957984,0.00036461526968299717,0.00031721519410275116,0.00038694821570824616
beekeeper,0.0004913065841248337,0.0009287035743664933,0.00036455251438250423,0.00031718144075074253,0.00038688462804970306
bees,0.0004912534009121224,0.0002852698792660994,0.00036452197980521643,0.0003171523685283927,0.0016458553282747426
beetle,0.0004912883339962627,0.0008283349135701794,0.0003645425112770583,0.00031716461801276107,0.00038688039876933654
bengal,0.0004913066922538036,0.00029050606221403937,0.0003645504183179184,0.0003171739620468827,0.0019320754553509244
bicycle,0.0004912785234148203,0.0030721715981204367,0.00036453615702467456,0.0003180367564076967,0.00038686897129147174
bicyclesequipment,0.0004913740708726821,0.0005155691913665709,0.0003645936194796045,0.0003172117495528099,0.000386933956120608
biologist,0.001358779294384031,0.0002852759487735019,0.0003645250733626163,0.00031715471111587993,0.00038685527424918415
biology,0.0004912821650454813,0.0002875410696724355,0.00036706854556710654,0.0003186966299439669,0.012742695305149428
bird,0.005786841813684289,0.00028589666165847026,0.007972485661436858,0.0003294106320469324,0.0012444147764626482
birdseye,0.0011222423795589798,0.0002855459680514647,0.001314781503599288,0.0003171994976252803,0.0008436850612291109
black,0.005858848540974116,0.005195275437670283,0.001176033646158466,0.0007321796343038075,0.0008896738118686582
blossom,0.0004912595238255554,0.00028527083746737584,0.001748213651322112,0.0003171592440445623,0.00038685587669750677
blue,0.000491352449300544,0.0014492433823194873,0.003467646483306703,0.0003189892257010535,0.002386818912260928
bluecollar,0.0004912574294392148,0.0002852706688047314,0.00036452424130784656,0.002781952451610258,0.00038686425909355607
boat,0.0010362676774760885,0.00229607118806292,0.0017544625633666886,0.0011038564740504823,0.0003941066619696789
boating,0.0004912942786781004,0.0011449005766171693,0.0003645456064411684,0.0003171723170243536,0.0003953470474764893
boatingequipment,0.0004912696233230291,0.0023033385614775856,0.0003650563059127869,0.0003171617985179844,0.0003892003192118993
boats,0.0004912696233230291,0.0023033385614775843,0.0003650563059127869,0.0003171617985179844,0.00038920031921190043
bobcat,0.0015244079256614025,0.0003273580702289124,0.00036459468875945614,0.0003172073790661955,0.00038693386839525463
body,0.0012408512754059384,0.0010016545558991844,0.002485296717833562,0.0013999187835254888,0.0015378991226389798
bog,0.0004912756861443866,0.00028557146800470837,0.0003645336462801619,0.0015901646369979121,0.00038686291819334587
bone,0.001744593583354425,0.000285363115080824,0.0008617500759388563,0.0007876722228143123,0.0011688783303854921
bonfire,0.0013658887701215765,0.0002853062439756323,0.00036458536233805215,0.00036674837633835877,0.00038692153864218286
bony,0.0004913042333324255,0.0002852853945720555,0.00036455008881383877,0.00031717384079633877,0.000911009489096771
